country_name,country_code,year,agri_forest_fishing_percent_GDP,tC02_per_capita,continent
Indonesia,IDN,1960,NA,0.243920438666342,Asia
Indonesia,IDN,1961,NA,0.288847534840632,Asia
Indonesia,IDN,1962,NA,0.24855339820758,Asia
Indonesia,IDN,1963,NA,0.239783189858366,Asia
Indonesia,IDN,1964,NA,0.229458182785688,Asia
Indonesia,IDN,1965,NA,0.246241492545179,Asia
Indonesia,IDN,1966,NA,0.227084331590146,Asia
Indonesia,IDN,1967,NA,0.232007117781474,Asia
Indonesia,IDN,1968,NA,0.253602319119105,Asia
Indonesia,IDN,1969,NA,0.298784281970412,Asia
Indonesia,IDN,1970,NA,0.312064912080403,Asia
Indonesia,IDN,1971,NA,0.330738856240284,Asia
Indonesia,IDN,1972,NA,0.358132828828113,Asia
Indonesia,IDN,1973,NA,0.395605932565675,Asia
Indonesia,IDN,1974,NA,0.402292446487214,Asia
Indonesia,IDN,1975,NA,0.41294208594355297,Asia
Indonesia,IDN,1976,NA,0.461389590137764,Asia
Indonesia,IDN,1977,NA,0.60049042943192,Asia
Indonesia,IDN,1978,NA,0.667989733876834,Asia
Indonesia,IDN,1979,NA,0.660345902045794,Asia
Indonesia,IDN,1980,NA,0.64283490739057,Asia
Indonesia,IDN,1981,NA,0.663585605004304,Asia
Indonesia,IDN,1982,NA,0.682392202476795,Asia
Indonesia,IDN,1983,24.1049192918087,0.664245141705189,Asia
Indonesia,IDN,1984,23.456098917004,0.694540653618328,Asia
Indonesia,IDN,1985,23.767641320597,0.734900513752217,Asia
Indonesia,IDN,1986,24.2534416295532,0.723036368373753,Asia
Indonesia,IDN,1987,23.3269453094893,0.718523952931381,Asia
Indonesia,IDN,1988,24.1215919518553,0.755317196327445,Asia
Indonesia,IDN,1989,23.4255287714725,0.734905615115722,Asia
Indonesia,IDN,1990,21.5487236013603,0.824448069167459,Asia
Indonesia,IDN,1991,19.661807287925,0.973664977060234,Asia
Indonesia,IDN,1992,19.5214104727292,1.07902584378146,Asia
Indonesia,IDN,1993,17.8798444276384,1.14539966023264,Asia
Indonesia,IDN,1994,17.286262325045,1.14179227448841,Asia
Indonesia,IDN,1995,17.1383462031211,1.142214229256,Asia
Indonesia,IDN,1996,16.6723873758844,1.26707921474099,Asia
Indonesia,IDN,1997,16.0921102228181,1.37387901082682,Asia
Indonesia,IDN,1998,18.0828529531935,1.04120012545705,Asia
Indonesia,IDN,1999,19.612676402133,1.15997795443149,Asia
Indonesia,IDN,2000,15.6787044387708,1.24539824992904,Asia
Indonesia,IDN,2001,15.9949177621389,1.37532540440013,Asia
Indonesia,IDN,2002,16.3196689664379,1.41120873453109,Asia
Indonesia,IDN,2003,15.1853482186248,1.43794150763443,Asia
Indonesia,IDN,2004,14.3357802955642,1.51212278390845,Asia
Indonesia,IDN,2005,13.1266186400506,1.51130211229007,Asia
Indonesia,IDN,2006,12.9738027192484,1.50498133899166,Asia
Indonesia,IDN,2007,13.7166831034562,1.61612059890716,Asia
Indonesia,IDN,2008,14.4817402607761,1.76906026260816,Asia
Indonesia,IDN,2009,15.290148146172,1.87083868375585,Asia
Indonesia,IDN,2010,13.929212707137,1.77295139151422,Asia
Indonesia,IDN,2011,13.5122870743946,2.08052212590138,Asia
Indonesia,IDN,2012,13.3739742350727,2.13172469369416,Asia
Indonesia,IDN,2013,13.3566991621949,1.6481420714633,Asia
Indonesia,IDN,2014,13.3367549992146,1.45003229425064,Asia
Indonesia,IDN,2015,13.4926435578886,1.98445241358829,Asia
Indonesia,IDN,2016,13.4787485470271,2.15375812738732,Asia
Indonesia,IDN,2017,13.1566308462661,NA,Asia
Indonesia,IDN,2018,12.8101071338204,NA,Asia
Indonesia,IDN,2019,12.7171535803267,NA,Asia
Indonesia,IDN,2020,NA,NA,Asia
Thailand,THA,1960,36.4443804267702,0.135585755146501,Asia
Thailand,THA,1961,35.8382304747796,0.146944073180921,Asia
Thailand,THA,1962,34.0027004911291,0.173130282111258,Asia
Thailand,THA,1963,33.0655231256479,0.185877735291963,Asia
Thailand,THA,1964,30.6341992934479,0.242241072851655,Asia
Thailand,THA,1965,31.923245627807,0.2341521419014,Asia
Thailand,THA,1966,33.4002074220439,0.28909565456601,Asia
Thailand,THA,1967,29.2437763343072,0.360199484889916,Asia
Thailand,THA,1968,28.6829270021221,0.491478255450936,Asia
Thailand,THA,1969,28.6847176406452,0.406442616107386,Asia
Thailand,THA,1970,25.9158755967296,0.416861174558357,Asia
Thailand,THA,1971,23.9243808216285,0.507018466635047,Asia
Thailand,THA,1972,25.338036819162,0.559082591868429,Asia
Thailand,THA,1973,27.6902292272749,0.608951134003337,Asia
Thailand,THA,1974,27.0057313583991,0.58775364995194,Asia
Thailand,THA,1975,26.8710847751989,0.576651988956657,Asia
Thailand,THA,1976,26.6955264718511,0.663449205921691,Asia
Thailand,THA,1977,24.783097761103,0.724218788564692,Asia
Thailand,THA,1978,24.4981552661241,0.772189884500236,Asia
Thailand,THA,1979,23.9935595031534,0.791694339830343,Asia
Thailand,THA,1980,23.2398777723942,0.847192872144306,Asia
Thailand,THA,1981,21.3571007576909,0.787331380027353,Asia
Thailand,THA,1982,18.548449515227,0.769642743305878,Asia
Thailand,THA,1983,20.0601739342431,0.846113989410117,Asia
